"Date","Wind.Dir..10s.deg.","Wind.Spd..km.h.","Daily_max_wind","Daily_mean_wind","Two_Day_max_wind","Two_Day_mean_wind","Three_Day_max_wind","Three_Day_mean_wind"
2011-01-15 04:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 05:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 06:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 07:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 08:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 09:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 10:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 11:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 12:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 13:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 14:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 15:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 16:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 17:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 18:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 19:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 20:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 21:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 22:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-15 23:00:00,NA,0,0,0,7,0.3125,7,0.444444444444444
2011-01-16 00:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-16 01:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-16 02:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-16 03:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-16 04:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-16 05:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-16 06:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-16 07:00:00,NA,0,NA,NA,NA,NA,NA,NA
